index,DatetimeEnd,Concentration,year,month,day,hour,season
359,2019-01-16 03:00:00+01:00,11.0,2019,1,16,3,winter
360,2019-01-16 04:00:00+01:00,6.0,2019,1,16,4,winter
361,2019-01-16 05:00:00+01:00,12.5,2019,1,16,5,winter
362,2019-01-16 06:00:00+01:00,19.0,2019,1,16,6,winter
363,2019-01-16 07:00:00+01:00,31.5,2019,1,16,7,winter
364,2019-01-16 08:00:00+01:00,37.0,2019,1,16,8,winter
365,2019-01-16 09:00:00+01:00,35.0,2019,1,16,9,winter
366,2019-01-16 10:00:00+01:00,44.0,2019,1,16,10,winter
367,2019-01-16 11:00:00+01:00,50.5,2019,1,16,11,winter
368,2019-01-16 12:00:00+01:00,43.0,2019,1,16,12,winter
369,2019-01-16 13:00:00+01:00,40.0,2019,1,16,13,winter
370,2019-01-16 14:00:00+01:00,32.5,2019,1,16,14,winter
371,2019-01-16 15:00:00+01:00,27.5,2019,1,16,15,winter
372,2019-01-16 16:00:00+01:00,28.0,2019,1,16,16,winter
373,2019-01-16 17:00:00+01:00,34.5,2019,1,16,17,winter
374,2019-01-16 18:00:00+01:00,42.0,2019,1,16,18,winter
375,2019-01-16 19:00:00+01:00,35.5,2019,1,16,19,winter
376,2019-01-16 20:00:00+01:00,47.0,2019,1,16,20,winter
377,2019-01-16 21:00:00+01:00,47.0,2019,1,16,21,winter
378,2019-01-16 22:00:00+01:00,29.5,2019,1,16,22,winter
379,2019-01-16 23:00:00+01:00,19.0,2019,1,16,23,winter
380,2019-01-17 00:00:00+01:00,16.5,2019,1,17,0,winter
381,2019-01-17 01:00:00+01:00,15.0,2019,1,17,1,winter
382,2019-01-17 02:00:00+01:00,12.5,2019,1,17,2,winter
383,2019-01-17 03:00:00+01:00,12.5,2019,1,17,3,winter
384,2019-01-17 04:00:00+01:00,14.5,2019,1,17,4,winter
385,2019-01-17 05:00:00+01:00,19.5,2019,1,17,5,winter
386,2019-01-17 06:00:00+01:00,28.0,2019,1,17,6,winter
387,2019-01-17 07:00:00+01:00,36.5,2019,1,17,7,winter
388,2019-01-17 08:00:00+01:00,45.0,2019,1,17,8,winter
389,2019-01-17 09:00:00+01:00,41.5,2019,1,17,9,winter
390,2019-01-17 10:00:00+01:00,37.0,2019,1,17,10,winter
391,2019-01-17 11:00:00+01:00,40.0,2019,1,17,11,winter
392,2019-01-17 12:00:00+01:00,49.0,2019,1,17,12,winter
393,2019-01-17 13:00:00+01:00,43.0,2019,1,17,13,winter
394,2019-01-17 14:00:00+01:00,33.5,2019,1,17,14,winter
